frame_index,time_ns,NMP_CORE_mean_CA_distance_A,LID_CORE_mean_CA_distance_A
0,0.0,24.28874844676412,26.58227788442298
1,0.2,24.999325569863938,26.65335895682151
2,0.4,25.01602772532489,26.236007983671612
3,0.6,25.212378658123434,26.624447335367275
4,0.8,24.955898409617976,26.93601561241167
5,1.0,25.02584529937629,27.017410700418438
6,1.2,25.490270247664373,27.38897803871096
7,1.4,25.622045829420415,28.68231023984168
8,1.6,25.64027110366298,30.510342316792944
9,1.8,24.99836088564316,29.1678986823089
10,2.0,24.952956125524814,29.666097118891845
11,2.2,25.23324053147788,29.42831318023901
12,2.4,25.38748927094677,28.957347316702315
13,2.6,25.3959371432777,28.960312395501166
14,2.8,25.270651888692257,29.50134918180779
15,3.0,25.40089766015115,29.138681459813128
16,3.2,25.410337356024343,29.85563853841169
17,3.4,25.749784399035764,30.73150452421512
18,3.6,25.842202919377776,32.64929505627357
19,3.8,25.06142808010159,33.434103706630964
20,4.0,25.616522869561503,32.86190981916542
21,4.2,25.002345867514293,32.30976699765203
22,4.4,25.215870953076255,31.73816137803755
23,4.6,24.853598680900305,29.827895166692308
24,4.8,25.341442493797498,30.28452359260122
25,5.0,25.011984966489663,30.117256120495053
26,5.2,25.272225398116948,30.27946932226208
27,5.4,25.489335923111916,30.51202327358246
28,5.6,24.768032779007733,30.226640470854253
29,5.8,24.78342028202028,29.890401881225053
30,6.0,24.88207757595403,30.419997555926994
31,6.2,24.69965022826051,30.36935413491802
32,6.4,24.86584062834122,28.94186691878216
33,6.6,24.973525436094636,28.517238107823612
34,6.8,24.476312764053407,29.465271134159018
35,7.0,24.835525992901772,29.479468498701525
36,7.2,24.891654770854252,30.868536811871262
37,7.4,24.64273835218065,29.7765365129048
38,7.6,24.752886196086216,28.448227552165335
39,7.8,24.876784441817442,28.73414930440139
40,8.0,24.953171705071327,29.073841938111237
41,8.2,25.38298091436853,28.107610205865566
42,8.4,24.8165621842796,27.621296681728086
43,8.6,24.729696510093305,28.237031383354452
44,8.8,24.81807203118513,27.84956053094792
45,9.0,24.880162227279854,27.368098409522222
46,9.2,24.71730831574207,29.335588941228202
47,9.4,24.608099973987596,28.39562568850988
48,9.6,24.795069283872795,28.61500082337793
49,9.8,24.503071686652927,29.161683362997753
50,10.0,25.006865672759268,29.92662658205524
51,10.2,24.706913937966934,28.853719564143685
52,10.4,24.718523723905886,29.86775997525048
53,10.6,24.922374641354097,29.160462995198245
54,10.8,24.695105238157378,28.53725179995893
55,11.0,24.663969433368976,29.34706653054533
56,11.2,24.66794509848013,28.643699932713485
57,11.4,24.758707386945442,27.73226336842264
58,11.6,24.788646912616777,28.82026585039274
59,11.8,24.91037822268617,29.172207655456816
60,12.0,24.701344741093,29.052776946524975
61,12.2,24.726450404148697,29.253425936404607
62,12.4,24.79160277213129,29.443244269921628
63,12.6,25.060663547492577,30.398835171758346
64,12.8,24.71517339039011,29.500253840265806
65,13.0,24.934217899742166,28.804967657520585
66,13.2,25.138117650429315,28.244928538291585
67,13.4,25.216822871079472,29.743695336237653
68,13.6,24.78737257876673,28.905335198215834
69,13.8,24.677376593490628,29.044192898778086
70,14.0,25.03086401385513,29.29574614638596
71,14.2,25.085053937559252,29.274512224262473
72,14.4,24.8335447067555,29.544538309626724
73,14.6,24.828711395048185,30.506408274089633
74,14.8,25.174218423492295,29.21256757760745
75,15.0,25.028050638450328,29.1116220400527
