trajectory,seed,tau,n_direction,open_fraction,far_fraction,label
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay,closed,2.0,979,0.7967313585291114,0.20326864147088866,partial
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.5414585414585414,0.45854145854145856,partial
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.998001998001998,0.001998001998001998,agreement
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.9050949050949051,0.09490509490509491,agreement
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.999000999000999,0.000999000999000999,agreement
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.932067932067932,0.06793206793206794,agreement
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,1.0,0.0,agreement
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.33766233766233766,0.6623376623376623,relative_only
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.8741258741258742,0.1258741258741259,agreement
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.4945054945054945,0.5054945054945055,relative_only
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.942057942057942,0.057942057942057944,agreement
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.9210789210789211,0.07892107892107893,agreement
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay,open,1.0,1001,0.989010989010989,0.01098901098901099,agreement
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay,open,2.0,1001,1.0,0.0,agreement
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay,open,0.5,1001,0.5714285714285714,0.42857142857142855,partial
