file,format,bins,first_axis_value,last_axis_value,axis_step_as_stored,axis_unit,counts_sum,maximum_count,zero_bins,normalized_or_corrected
44-86/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2811392,100003,585,False
44-86/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,1415678,50050,1129,False
44-86/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,84086279,23241,34,False
44-86/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,182123010,50001,32,False
5-132/5-132_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,49275154,100000,3,False
5-132/5-132_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,15116169,100000,319,False
5-132/IRF_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2204897,100000,4435,False
5-132/IRF_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2218106,100000,4298,False
5-44/5-44_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,49278363,100000,0,False
5-44/5-44_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,17304952,100000,161,False
5-44/IRF_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2223504,100000,3714,False
5-44/IRF_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2196649,100000,4418,False
55-119/55-119_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,32700955,100002,350,False
55-119/55-119_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,24751639,100001,347,False
55-119/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2348031,100070,602,False
55-119/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2362368,100077,616,False
55-119/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,132773195,36617,43,False
55-119/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,108953608,29938,30,False
55-132/55-132_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,33972278,100000,336,False
55-132/55-132_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,17200770,100003,340,False
55-132/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2302825,100028,516,False
55-132/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2302825,100028,516,False
55-132/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,135293204,37133,177,False
55-132/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,135293204,37133,177,False
55-150/55-150_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,31823371,100003,353,False
55-150/55-150_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,29893711,100001,351,False
55-150/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2395234,100016,703,False
55-150/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2395234,100016,703,False
55-150/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,90714425,25018,32,False
55-150/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,90714425,25018,32,False
55-69/55-69_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,34029051,100003,349,False
55-69/55-69_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,17356317,100002,350,False
55-69/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2341465,100009,734,False
55-69/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2341465,100009,734,False
