trajectory	seed_lineage	partition_5	partition_50	open_direction_fraction	judgment	first_reference_entry_ns	subsequent_reference_exit_ns	first100_Vopen_mean	last100_Vopen_mean	first100_Vclosed_mean	last100_Vclosed_mean	OPEN_NOE_fraction	CLOSED_NOE_fraction	BOTH_FAR_fraction	BOTH_NEAR_fraction	within_direction_OPEN_NOE	within_direction_CLOSED_NOE	within_direction_BOTH_FAR	within_direction_BOTH_NEAR
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.40369999999999995	0.16250000000000003	27.9452	29.570099999999996	0.999000999000999	0.0	0.000999000999000999	0.0	0.999000999000999	0.0	0.000999000999000999	0.0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.0938	0.3373999999999999	24.601599999999998	28.8452	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	49.0		0.7866999999999998	0.42339999999999994	26.882500000000004	27.642599999999998	0.8741258741258742	0.0	0.1258741258741259	0.0	0.8741258741258742	0.0	0.1258741258741259	0.0
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.43149999999999994	0.8000999999999999	24.483999999999995	27.096400000000003	0.942057942057942	0.0	0.057942057942057944	0.0	0.942057942057942	0.0	0.057942057942057944	0.0
R60A_GS06_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.10779999999999999	0.1157	24.7802	28.82	0.989010989010989	0.0	0.01098901098901099	0.0	0.989010989010989	0.0	0.01098901098901099	0.0
R60A_GS07_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.30260000000000004	0.3834	24.1896	28.904899999999998	0.9500499500499501	0.0	0.04995004995004995	0.0	0.9500499500499501	0.0	0.04995004995004995	0.0
R60A_GS08_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	PARTIAL	42.0		0.5175000000000001	0.5481000000000001	25.208399999999997	25.638500000000004	0.6733266733266733	0.0	0.32667332667332666	0.0	0.6733266733266733	0.0	0.32667332667332666	0.0
R60A_GS09_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.1643	0.32909999999999995	30.613299999999995	31.7856	0.993006993006993	0.0	0.006993006993006993	0.0	0.993006993006993	0.0	0.006993006993006993	0.0
R60A_GS10_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.35230000000000006	0.25670000000000004	29.747200000000007	30.208099999999998	0.998001998001998	0.0	0.001998001998001998	0.0	0.998001998001998	0.0	0.001998001998001998	0.0
R60A_GS11_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.17689999999999997	0.3905000000000001	28.3154	28.455000000000005	0.997002997002997	0.0	0.002997002997002997	0.0	0.997002997002997	0.0	0.002997002997002997	0.0
R60A_GS12_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.1659	0.2845	22.909000000000002	23.290599999999994	0.942057942057942	0.0	0.057942057942057944	0.0	0.942057942057942	0.0	0.057942057942057944	0.0
R60A_GS13_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.19959999999999997	0.18150000000000002	28.903299999999998	31.1331	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
R60A_GS14_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.09939999999999999	0.5849	27.926600000000008	27.043799999999997	0.993006993006993	0.0	0.006993006993006993	0.0	0.993006993006993	0.0	0.006993006993006993	0.0
R60A_GS15_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.22949999999999995	0.9567	31.056199999999993	30.713599999999992	0.8891108891108891	0.0	0.1108891108891109	0.0	0.8891108891108891	0.0	0.1108891108891109	0.0
R60A_GS16_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	107.0		0.8207000000000001	0.7695000000000001	26.905799999999996	27.988099999999996	0.8051948051948052	0.0	0.19480519480519481	0.0	0.8051948051948052	0.0	0.19480519480519481	0.0
R60A_GS17_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.15260000000000004	0.27690000000000003	25.948	27.852200000000003	0.993006993006993	0.0	0.006993006993006993	0.0	0.993006993006993	0.0	0.006993006993006993	0.0
R60A_GS18_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	RELATIVE_ONLY			0.8060000000000003	2.3421000000000003	27.155900000000003	27.634100000000004	0.11388611388611389	0.0	0.8861138861138861	0.0	0.11388611388611389	0.0	0.8861138861138861	0.0
R60A_GS19_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.3568	0.4014	27.634300000000003	28.2291	0.999000999000999	0.0	0.000999000999000999	0.0	0.999000999000999	0.0	0.000999000999000999	0.0
R60A_GS20_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	FIRST_OPEN	FIRST_OPEN	1.0	AGREEMENT	20.0		0.19240000000000004	0.1502	27.9027	26.4663	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
